display  D   display_settings.c:214  debug_display_settings           [   0.11286] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11304] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11320] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11338] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11356] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11381] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11402] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11420] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11437] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11458] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11477] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11491] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11506] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11521] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11536] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11550] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11564] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11578] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11591] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11606] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11621] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11637] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11652] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11667] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11681] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11695] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11709] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11726] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11743] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.11760] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11778] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11794] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11806] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11839] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11853] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11866] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11882] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11897] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11911] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11927] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11945] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.11965] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.11984] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12001] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12017] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12031] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.12057] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12073] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12087] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.12103] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.12117] Single Buffer requirement not met.
